text,label
supp) Scale 1 1994 Indlaw SC 525 ] and Hitendra Vishnu Thakur's case 1994 Indlaw SC 1706 (supra) no offence under Section 3 of TADA could be said to have been committed by the appellants,Ruling by Lower Court
"On the 24th July, 1945, the widow describing herself as an absolute owner of the properties of her husband sold one of the items of the property to the 2nd defendant for Rs. 500",Facts
"During the pendency of the appeal the widow died on 14th February, 1948",Facts
The idol was not made a party to this suit,Facts
In the first place there the trial had not actually begun,Argument
"Grammatically, therefore, it would appear that the provisions of the various clauses are capable of being applied cumulatively",Statute
After the completion of the first phase the second phase was to start on 10th October 1963 and completed by 9th May 1964,Argument
"express restriction against alienation, the estate taken by S. (the niece) was an estate such as a woman ordinarily acquires by inheritance under the Hindu law which she holds in a completely representative character but is unable to alienate except in case of legal necessity and that such a construction was in accordance with the ordinary notions that a Hindu has in regard to devolution of his property",Precedent
S. 234,Statute
"On the other hand,learned counsel for the respondent contended that a determination under s.2 (4) (i) of the Act that a particular Jagir 'was a proprietary one necessarily implied that the grant was of soil and the grantee was entitled to mines and mineral products which were expressly saved under s.10 of the Act and in any event on the facts obtaining in the instant case the competent authority acting under s.2 (4) (i) of the Act,while coming to the conclusion that the respondent's Jagir was proprietary one,bad relied upon the unqualified nature of the grant and also considered the evidence led before it touching upon the several rights such as right to sell fire-wood,babul trees,saltrees,timru trees,right to sell agriculture land and house sites; right to sell stones and gravel,right to sell or allow use of land for manufacture of bricks-enjoyed by the respondent since the time the grant had been made in his favour by the then Ruler and it was on the basis of such evidence that tile competent authority had come to the conclusion that the respondent's Jagir was a proprietary one",Argument
"Disputes arose between Bhupendra, jnanendra and Nagendra, the sons of Rajendra, and one Kedar Nath Ghosh was appointed arbitrator to settle those disputes",Facts
"We may, however, point out that Billimoria himself gave his evidence in English",Statute
"By this will he gave the following directions -- ""After my lifetime, you, the aforesaid Ranganayaki Amminal, my wife, shall till your lifetime, enjoy the aforesaid entire properties, the outstandings due to me, the debts payable by me, and the chit amounts payable by me",Facts
This was precisely the view which was expressed by Lord Justice Romer in (1905) 1 K.B.592 to which I have already referred in the earlier part of the judgment,Ruling by Present Court
The learned counsel in support of his contention drew our attention to a number of decisions of different High Courts and contended that the words of this will should be construed in the manner as more or less similar words were construed by the courts in the wills dealt with in those decisions,Argument
Grey Street and that his possession of the said premises thereafter became adverse which adverse possession continued for upwards of 12 years extinguishing the right of the idol to the said premises,Argument
Appeal allowed,Ruling by Present Court
221 to 232 are comprised under the first sub-head and ss,Statute
"S. 120 -B which makes criminal conspiracy punishable was added by the Indian Criminal Law Amendment Act, 1913 (8 of 1913) along with s. 120-A. Section 120-A defines conspiracy and s. 120- B provides for the punishment for the offence of conspiracy",Argument
"b) (v) of the Act, but in spite of it, the direction was that the Divisional Forest Officer should make the appraisement",Ruling by Lower Court
It also permits that charges could be framed against an accused person in the alternative if the court thinks fit,Statute
The third objection was that no charge of conspiracy could have been framed after the conspiracy had borne its fruits,Argument
"Again, as already stated, s. 234(1) does not override the provisions of s. 235(1) which permits trial of a person for more offences than one committed during any period provided they are so connected together as to form one transaction",Statute
Grey Street by adverse possession,Ruling by Present Court
Written statements were filed by the appellants and by Susilabala and the two sons of Jogendra denying the claims of the idol and contending inter alia that there was no valid or absolute dedication of the suit properties I to the idol and that the said premises had been respectively acquired by them by adverse possession and that the title of the idol thereto had been extinguished,Facts
"Under the will there dealt with, the widow S, was to enjoy the properties and after her lifetime the properties were to be taken in the ratio of three to five by the son's daughter and the daughter's son respectively",Precedent
In view of the fact that this Court vide order dated 27th,Ruling by Present Court
Ranganayaki entered into possession of the properties on the death of her husband,Facts
that he did act as such shebait and that his possession of the premises,Ratio of the decision
"In our judgment, there is force in the contention of Mr. Rajah Iyer for reasons already stated and in the result, therefore, we dismiss this appeal with costs",Ruling by Present Court
"Consequently,we award ten years Rigorous Imprisonment to the appellants",Ruling by Present Court
The force of these observations constrains us to direct that the proceedings before the Compensation Officer shall be completed within six months from today,Ruling by Present Court
that the dividend of 243/4 per cent,Facts
Appeals dismissed,Ruling by Present Court
and then my wife would enjoy all the remaining properties with absolute rights,Precedent
The same has been made clear in paragraph,Ruling by Lower Court
He urged that it would be for the Collector acting under S.37(2) of the Bombay Land Revenue Code to decide the latter question in an inquiry initiated under that provision,Argument
"It was held upon the construction of the will that the nephew, who lived amicably with the widow till his death, had a vested interest at testator's death which could not be defeated by a testamentary disposition by the widow in favour of a stranger",Precedent
If pardon is tendered to an accused person and eventually it is found that the pardon is illegal such person is pushed back into the rank of an accused person and being no more than an accomplice would be a competent witness,Argument
The offer of a bonus is the means frequently adopted to secure continuous service from an employee to enhance his efficiency and to augment his loyalty to his employer and the employee's acceptance of the offer by performing the things called for by the offer binds employer to pay the bonus so called,Ratio of the decision
It thus lays down the normal rule to be followed in every case,Statute
"On' a careful consideration of the evidence both oral and documentary it is established that the Appellant who was in charge of the expansion work on the air-strip was given possession of the land acquired for that purpose on 13-2-63, that there was standing thereon, a bumper crop of Sarson, gram and Lusan on that day, that he was therefore entrusted with this crop, that he postponed giving delivery of the land to the contractor till, at any rate after the 23rd March, 1963 and before the 6th April, 1963 and that he allowed the crop to be cut and taken away without in any way accounting for it which shows that it was done dishonestly and raudulently",Ruling by Present Court
It was averred in the plaint that Ramalakshmi obtained a vested interest in the suit -properties under the will of her father and plaintiff was thus entitled to maintain the suit,Facts
"Rani Dhun Kaur should not take an absolute estate, but that she should be succeeded in her estate by her two daughters",Precedent
Bhagwati Devi v. Chowdry Bholonath Thakur (1874-75) 2 I.A 256,Precedent
"On the 4th September 1909, Bhupendra, Jnanendra. and Nagendra, then a minor, the three sons of Rajendra filed a suit, being Suit No",Facts
"all my properties shall after my death be in possession of my wife herself and she herself should be heir to everything and Mutha Arunachala Chetty (nephew) and my wife, should live together amicably as of one family",Precedent
"It was pointed out by the learned advocate that the High Court was in error in equating other product raised on the land with emblements because the definition of crop in Black's Law Dictionary does include emblements, as such the words 'other product' cannot also be treated as emblements and must therefore be given a different meaning which according to him would include trees",Argument
That again was a matter which came before the High Court before conviction and not after the trial was over,Ruling by Lower Court
"S. 235(1), however, goes a step further and permits the trial of a person for more offences than one if they are so connected together as to form the same transaction",Statute
What value to attach to them is another matter and would be for the Court of fact to consider,Statute
Ramalakshmi had married the plaintiff and had a number of children from him,Facts
"S.215 of the Code however clarifies that no error in stating either the offence or the particulars required to be stated in the charge,and no omission to state the offence or those particulars,shall be regarded at any stage of the case as material,unless the accused was in fact misled by such error or omission,and it has occasioned a failure of justice",Statute
But there were other indications in that will showing that a widow's estate had been given,Ratio of the decision
"A consent decree was passed in the said suit on the 9th September, 1929",Facts
41 and 40/1 Grey Street and appointed his brother Jogendra the sole executor thereof,Facts
There is no order as to costs,Ruling by Present Court
"Mr. Chari then referred to s. 133 of the Evidence Act and pointed out that this section clearly makes an accomplice evidence admissible in a case and that an approver whose pardon is found to be invalid does not cease to be an accomplice and contends that he is, therefore, as competent a witness as he would have been if he had not been granted pardon at all and not been put on trial",Argument
22 Bom,Precedent
The slab-system of calculation of compensation in the Act providing smaller multiples for estates yielding larger income is unconstitutional,Ruling by Lower Court
The trial Court sentenced the appellant to death under Section 302 IPC and to undergo rigorous imprisonment for life and pay a fine of Rs,Ruling by Lower Court
Case remanded,Ruling by Present Court
No. 41A,Ratio of the decision
"regards the second contention, viz., the adverse possession of Nagendra, it is to be noted that under the terms of cl. 3 of the will of Dwarka Nath the representatives, successors and heirs of his two sons Rajendra and Jogendra were successively to perform the seva in the manner therein mentioned and Nagendra was one of the heirs and legal representatives Of Rajendra",Ratio of the decision
"After your lifetime Ramalakshmi Ammal, our daughter and wife of Rama Ayyar Avergal of Melagaram village, and her heirs shall enjoy them with absolute rights and powers of alienation such as gift, exchange, and sale from son to grandson and so on for generations",Facts
S. 232 deals with the power of the. appellate court or the High Court when it discovers that there is material error in the charge,Statute
We are in perfect accord with the observations made by Rankin C.J,Ruling by Present Court
Their Lordships see no sufficient reason for importing into this document words which would carry with them all these consequences and they agree with the subordinate judge in construing it according to its plain meaning,Precedent
"The will there recited that if a daughter or son was born to the testator during his lifetime, such son or daughter would be the owner of all his properties but if there was no son or daughter, his niece S. would get a bequest of a lakh of rupees, and the rest of the movable and immovable properties would remain in possession of his wife until her death, and after her these would remain in possession of his niece",Precedent
The High Court by its judgment under appeal affirmed the decision of the trial judge and maintained his view on the construction of the will,Facts
These observations have to a certain extent relevance to the present case but on the facts this case is also distinguishable,Ratio of the decision
"On the 23rd February, 1927, Nagendra executed a deed of settlement of the said premises by which he appointed his wife Labanyalata and his wife's brother Samarendra Nath Mitter trustees to carry out the directions therein contained and in pursuance of the deed of settlement he gave up possession of the said premises in favour of the trustees",Facts
"Does this mean that the provisions of s. 233, 234, 235, and 236 must also be complied with",Statute
It was remarked that in spite of an,Precedent
"But such persons have no legal duty to protect the endowment and, until the shebait is removed or controlled by the court, he alone can act for the idol",Precedent
133(1) of theConstitution from a judgment and decree passed by the Appellate Bench of the High Court of Calcutta,Facts
His second contention was that reference was made to a number of documents in some of these questions and those documents were not made available to the respondents for answering those questions,Argument
No. 41 Grey Street together with land thereunder to the said Sri Sri Issur Sridhar Jew,Ratio of the decision
Reference was also made to a decision of the Bombay High Court in Lallu v. Jagmohan (1898) I.L.R,Precedent
The calculation made by the Chief Conservator of Forests therefore has no statutory force but could be just a piece of evidence,Ruling by Lower Court
Mr,Argument
That was a case of a government grant on the special terms set out therein and the question arose as to the nature of the grant,Precedent
"The respondent-State contended that the appellant encroached on the suit lands, that proceedings were taken against him in L.C. Case",Argument
"Both the sets of facts are relevant, that is, non-receipt of the amounts by the firms and non-existence of entries in their account books pertaining to those amounts",Statute
The provisions of s. 37(3) read with s. 26(2,Ruling by Lower Court
"Pai has urged that since legislative intent,as revealed from the scheme of s.5(1) of the Act is to compensate the woman worker who expects delivery for the loss that her forced absence from work on account of pregnancy and confinement may entail,the liability which has to be imposed on her employer cannot exceed the amount that she would have earned if she had not been compelled to avail of the maternity leave and since Sunday is a non-working wageless day,the employer cannot be made to pay for that day",Argument
There will be no order as to costs,Ruling by Present Court
"During the agricultural year immediately preceding the abolition, the petitioners had not actually derived any income from the forests and as such they were under no obligation to pay any income-tax on such income",Ruling by Lower Court
Appeal dismissed,Ruling by Present Court
The offence of conspiracy is an entirely independent offence and though other offences are committed in pursuance of the conspiracy the liability of the conspirators for the conspiracy itself cannot disappear,Argument
"The question which therefore arises for our consideration is mainly whether the workers are entitled to the payment of a bonus in spite of the employer having worked at a loss during the year and incidentally whether the workers have any right, title or interest in the reserves and the undistributed profits of the previous years",Ratio of the decision
The properties disposed of by the will and mentioned in the schedule were considerable in extent and it seems that they fetched sufficient income to enable the widow to fulfil the obligations under the will,Ratio of the decision
She had complete control over the income of the property during her lifetime,Ratio of the decision
Mr. Krishnaswami Iyengar sought to derive the greatest support for his contention from the decision in Ram Bahadur v. Jager,Precedent
"That section reads thus:"" ""This provision relates only to the oral evidence adduced in a case and not to documentary evidence",Statute
Papers seized by the police include receipts purporting to have been signed by one J. J. Billimoria on behalf of the firm,Statute
It may further - be mentioned that the account books of VESCO show certain payments made to Billimoria & Co. of Kharagpur,Statute
The Order of the Court was as follows,Ruling by Present Court
"The work of the extension of aerodynamic was entrusted to one Telu Ram, P.W. 8 Contractor, with whom the trusted to M.E.S. Department entered into an agreement on December 3, 1962",Argument
"Finally he said that the court did not perform its duty under s. 342 (4) of the Code as amended as it failed to bring to the notice of the respondents that they may, if they chose, give evidence in their defence",Argument
The work according to that agreement was to be done in 2 phases-first phase was to commence on 10th January 1963 and was to be completed by 9th October 1963,Argument
"This imports the conception that even though the payment be not strictly due to the recipient nor legally enforceable by him, a claim to the same may be laid by the employee under certain conditions and if such claim is entertained either by an agreement with the employer or by adjudication before a properly constituted Tribunal as on an industrial dispute arising",Ratio of the decision
"But the meaning to be ascribed to that word is that it connotes in its larger signification, products of the soil that are grown and raised yearly and are gathered during a single season",Argument
It has been used especially in the United States of America to designate an award in addition to the contractual wage,Ratio of the decision
This is an appeal on a certificate u/art,Facts
This agreement was signed both by the Appellant and P.W. 14,Argument
"S.212 of the Code provides that the charge shall contain the particulars as to the time and place of the alleged offence,and the person (if any) against whom,or the thing (if any) in respect of which,it was committed,as are reasonably sufficient to give the accused notice of the matter with which he is charged",Statute
There is no such indication in the will before us,Ratio of the decision
"The restraint against alienation was repugnant to both a life estate and a widow',-, estate and was not, therefore, taken into account",Ratio of the decision
"He died on the 31st January,1900, and Jogendra obtained on the 24th April, 1900",Facts
Pai has referred us to the Full Bench decision of the Kerala High Court in Malayalam Plantations Ltd,Argument
It is classified amongst the methods of wage payment,Ratio of the decision
"and he was evicted in due course, that the trespass by the appellant was of recent origin, that the allegation that the entry was made in the belief that the land belonged to the Illom was false, that the Revenue and Forest Departments did not harass the appellant but they took steps for dispossessing him only in accordance with the law, that the Commissioner's report was not correct in that all the improvements noted by the Commissioner were not made by the appellant but by other independent squatters, that after due notice an order of forfeiture had been passed in L.C. Case",Argument
premises,Facts
"It would also follow that she would completely represent the estate, and under certain circumstances the statute of limitations might run against the heirs to the estate, whoever they might be",Precedent
"There may be special cases, and we consider the case before us to be one, where social justice would demand that labour should have bonus for the year where for that very year capital had not only a.. reasonable return but much in excess of that",Ruling by Lower Court
In view of the opinion of the majority both the appeals are dismissed and there is no order as to costs,Ruling by Present Court
There is no order as to costs,Ruling by Present Court
The High Court rejected the said application stating that there was no rule allowing cross-objections in the Supreme Court,Ruling by Lower Court
"The following remarks in the Privy Council decision in Nathu, Ram Mahajan v. Gangayabai (1938",Precedent
The learned counsel for the respondent followed the line adopted by Mr. Krishnaswami Iyengar,Argument
According to learned counsel the mere circumstance that the respondent's Jagir was found under S.2(4,Argument
Emphasis supplied,Ruling by Lower Court
The provisions contained in this will bear no analogy to those we have to construe,Ratio of the decision
Nath Prasad 3 Pat,Precedent
The word 'bonus' has however acquired a secondary meaning in the sphere of industrial relations,Ratio of the decision
this Court has held that the object of the exemption Notification was neither to protect the owners of the trade mark nor the consumers from being misled,Precedent
Sub-s,Statute
The appeals are partially accepted to the extent afore-indicated,Ruling by Present Court
"A petition made by the purchasers on the 12th January, 1937, for setting aside the sale was rejected by the court on the 15th March, 1937",Facts
"Bhimasankaram, supporting the view taken by the High Court then contends that it is not permissible to frame a charge of conspiracy when the matter has proceeded beyond the stage of conspiracy and that in pursuance of it offences have actually been committed",Ruling by Lower Court
26 M.L.J. 616,Precedent
The appellant no. 2 is on bail,Ruling by Present Court
"Here again, the question of clubbing together of the various provisions of cls",Argument
"There it was said that: ""the widows of Sivaji Raja got the gift of a life estate very much resembling the ordinary estate of a Hindu widow and with all the incidents of a widow's estate except the liability to be divested, but nevertheless a life estate rather than an estate of inheritance",Precedent
The 3 1/2 Cattahs (three and half Cattahs) of rent free land more or less that I have on that very,Ratio of the decision
"Grey Street was referable to possession on behalf of the idol, 30 .This finding was not challenged in the appeal court and it is too late to challenge the same before us",Ratio of the decision
"There was a clear prohibition, forbidding the widow to make any transfers of the milkiuit estates and the slaves",Ratio of the decision
A prayer was made that the widow be restrained from alienating the other properties in her possession,Facts
that if there are certain restrictions with respect to the trial of a single accused there is no reason why those restrictions will disappear if an accused person is tried along with several other persons,Statute
"I am quite unable to hold that it does, because such a change of intention can only be brought home to the idol by means of the shebait's knowledge and the idol can only react to it by the shebait",Precedent
The accused-appellant has filed this appeal by special leave,Ruling by Lower Court
"Varadachari J. held that since in the will the gift over to the grand-children was of the entire Properties, and not a mere gift by way of defeasance, it had to be held that it indicated that the prior gift in favour of the widow was only of a limited interest",Precedent
1936 Indlaw MAD 236,Precedent
"of the said Sri Sri Issur Sridhar Jew Salagram Sila Thakur and on the death of my said two sons their representatives, successors and heirs shall successively perform the sheba in the aforesaid manner and the executors appointed by this will of mine having got the said two properties registered in the Calcutta Municipality in the name of the said Sri Sri Issur Sridhar Jew Thakur shall pay the municipal taxes, etc",Ratio of the decision
The sureties and bail bonds furnished by her are discharged,Ruling by Present Court
of the deity,Ratio of the decision
"Illustration (e) u/s.215 of the Code,as contrasted from illustration (d) under that section,throws some light on this issue",Statute
"6,500 to be paid to the plaintiffs, jogendra was declared entitled absolutely to the premises",Facts
"The fact that otwithstanding overwhelming evidence particularly of his own admission at the time he denies that there were ever any crops when delivery of possession of the land acquired was taken by him, further reinforces the conclusion that he allowed the crops to be cut away with dishonest or fraudulent motive",Ruling by Present Court
"234, 235, 236 and 239",Statute
As at present advised a claim for bonus which had been rested on profits earned should ordinarily be determined on the basis of the profits earned in the year under claim and that the scale of bonus should be determined on the quantum of profits earned in the year,Ruling by Lower Court
Grey Street No. 40/1,Ratio of the decision
"According to Jarman (Jarman on Wills), the law leans in favour of vesting of estates and the property disposed of belongs to the object of the gift when the will takes effect and we think the daughter got under this will a vested interest in the testator's properties on his death",Ratio of the decision
"We do not propose to give our reasons to the extent we are in agreement with Pathak,J.and we propose to state our reasons for the disagreement only",Ruling by Present Court
"He had in anticipation of acquisition and execution of the work appointed A. B. Ranadive, P.W. 14 as Assistant Garrison Engineer who was to be responsible, for all the matters connected with the acquisition of land, demarcation of boundaries as an Engineer Inching for execution of the contract and responsible for the maintenance of the Air Field",Argument
and it had to be kept intact for the enjoyment of the daughter,Ratio of the decision
"Sub-s.(1) thereof provides that no finding,sentence or order of a court of competent jurisdiction shall be deemed invalid merely on the ground that no charge was framed or on the ground of any error,omission or irregularity in the charge including any misjoinder of charge,unless,in the opinion of the court of appeal,confirmation or revision,a failure of justice has in fact been occasioned thereby",Statute
I.C.848=A.I.R.1975,Argument
The unsuccessful defendants preferred an appeal against this decree to the High Court of Judicature at Madras,Facts
a) and (b,Statute
"In the first instance, he placed reliance on a decision of the Madras High Court in Ratna Chetty v. Narayana swami Chetty (19I4",Precedent
a) says that persons accused of the same offence committed in the course of the same transaction may be charged and tried together,Statute
"Chunderbutti, his wife, was in these terms: ""the remaining 'milkiut' and 'minhai ' 'estates, together with the amount of ready money, articles, slaves, and all household furniture I have placed in the possession of Mst",Precedent
The further contention urged on behalf of the appellants in regard to the disallowance of the sum of Rs,Ruling by Present Court
"They are to be registered in the municipal records in the name of the deity, the municipal bills have got to be taken also in his name and none of the testator's representatives, heirs, successors, executors, administrators or assigns is to have any manner of interest in or right to the said premises or is to be competent to give away or effect sale, mortgage, etc",Ratio of the decision
No. 41,Ratio of the decision
Appeal allowed,Ruling by Present Court
February 1963 to the appellant,Argument
modifying on appeal the judgment and decree passed by Mr. Justice Bose on the original side of that court,Facts
"On the 10th June, 1891, he made and published his last will and testament whereby he dedicated to this family idol",Facts
He shall be released forthwith unless wanted in some other case,Ruling by Present Court
b) (v) of the Act make it clear that the date of vesting is the last date by which the calculation of compensation should have been made,Ruling by Lower Court
This decision only decides that case and is not very relevant in this enquiry,Ratio of the decision
"41 Grey, Street to the idol was an absolute dedication",Ruling by Present Court
Grey Street in the city of Calcutta,Facts
In construing the will of a Hindu it is not improper to take into consideration what are known to be the ordinary notions and wishes of Hindus with respect to the devolution of property,Precedent
"XIX ranging from error, omissions and irregularities in charges that are framed, down to charges that might have been framed and were not and include a total omission to frame a charge at all at any stage of the trial",Ruling by Lower Court
The report of the Chief Conservator of Forests is also invalid because of the fact that the appraisement is made only with reference to the area of the disputed forests without taking into consideration the density of growth therein,Ruling by Lower Court
I and question No. 12 put to the respondent No. 2 and tried to show that those questions rolled up a large number of separate questions and that it could not have been possible for the respondents to give any rational answers to those questions,Argument
"On the 19th July, 1948, the family idol of Dwarka Nath, Sree Sree Iswar Sridhar Jew, by its next friend Debabrata Ghosh, the son of Nagendra, filed the suit, out of which the present appeal arises, against the appellants as, also against Susilabala and the two sons of Jogendra by her, amongst others, for a declaration that the premises Nos",Facts
"3,350 in cash and by executing in her favour an agreement stipulating to pay her a sum of Rs",Facts
"There are however two conditions which have to be satisfied before a demand for bonus can be justified and they are, (1) when wages fall short of the living standard and (2) the industry makes huge profits part of which are due to the contribution which the workmen make in increasing production",Ratio of the decision
Indlaw MAD 621 (1940,Precedent
"3) Assuming that in spite of the directions of the court the Compensation Offi cer is entitled to follow the procedure laid down in S. 26(2)(b)(v), the expression 'subject to the approval of the Chief Conservator of Forests' does not refer to the appraisement made by the D.F.O. but refers to his appointment",Ruling by Lower Court
"For the reason aforesaid,the impugned order dated 1st March,2011 passed by the High Court in W.P.No.10220 of 1996 etc.cannot be upheld",Ruling by Present Court
They will of course be entitled to enjoy the balance left after payment of rent,Precedent
"The subordinate judge held that the widow took under the will a limited life, interest, and not an absolute estate or even a widow's estate under Hindu law, and that the daughter got there under a vested interest in the properties to which the plaintiff succeeded on her death",Ruling by Lower Court
No doubt one of the meanings given in the Black's Law Dictionary does say that in a more restricted sense the word is synonymous with 'fructus industrials,Argument
Appeal allowed,Ruling by Present Court
The only thing which was urged by Shri N. C. Chatterjee in support of his contention was that the right to reside in the premises was given to the sevayats and that according to him detracted from the absolute character of the dedication,Argument
"It was argued that such a power was implicit within the acts she was authorized to do, that is to say, when she was directed to pay the debts and settle the maintenance of Ramalakshmi it was implicit within these directions that for these purposes, if necessity arose, she could alienate the properties",Argument
"2,500 from Moti Ram of Sirsa for cutting the crops and thereby committed ,offence under Section 5(1)(d) punishable under Section 5(2",Ruling by Lower Court
the same would ripen into a legally enforceable claim,Ratio of the decision
This argument however cannot avail the appellants,Ratio of the decision
"The Court may infer from this that A was misled,and that the error was material",Statute
He omits the words 'during her life' with reference to the disposition in favour of the daughter,Precedent
"Thus we hold,in the present case that there was no statutory require-ment for obtaining the approval of the State Government and even if there was one,it would have been repugnant to the AICTE Act",Ruling by Present Court
No. 41 and No. 40/1,Facts
a) to (d) of s. 239 was not raised expressly in the argument before the Court,Argument
Merely because the accused persons are charged with a large number of offences and convicted at the trial the conviction cannot be set aside by the appellate court unless it in fact came to the conclusion that the accused persons were embarrassed in their defence with the result that there was a failure of injustice,Ruling by Lower Court
"The respondent also averred that it had not taken possession of any crops or movables as stated in the, plaint and that the movables found in the building were attached for the realisation of arrears of fine etc",Argument
I is alleged to have been committed not by just one person but by all the accused and the question is whether all these persons can be jointly tried in respect of all these offences,Ruling by Lower Court
"The will was construed as giving the self-acquired properties ultimately to the grandsons, and the estate of the daughter was likened to an estate which she would take- under the law of inheritance, that is a limited estate analogous to a widow's estate",Precedent
If a shebait by acting contrary to the terms of his appointment or in breach of his duty as such shebait could claim adverse possession of the dedicated property against the idol it would be putting a premium on dishonesty and breach of duty on his part and no property which is dedicated to an idol would ever be safe,Ruling by Present Court
"A similar view was expressed by the same High Court in the case which was reversed by this Court in The State of Andhra Pradesh V. Kandinalla Subbaiah ( 1962 (2) SCR 194, ), and it was held that conspiracy to commit an offence being itself an offence a person can be separately charged with respect to such a conspiracy",Ruling by Lower Court
"Grey Street after making the due provision for the idol as they purported to do by the terms of settlement, dated the 24th November, 1910",Argument
The possession of the appellants in respect of their land cannot be interfered with except in accordance with law,Ruling by Present Court
"True, any heir or perhaps any descendant of the founder can bring a suit",Precedent
The first contention of the appellants therefore fails and we hold that the dedication of the premises,Ruling by Present Court
"Since the award has been already signed,I do not think anything further can be added to this award",Ruling by Lower Court
"In the result,Civil Appeal No.2299 of 1979 is allowed in part insofar that the order dated 22nd December,1978 of the Industrial Tribunal,Maharashtra Bombay is quashed to the extent that it modifies the original award dated 20th December,1978,and the corrigendum made consequent thereto is also quashed",Ruling by Present Court
"The question whether the idol itself shall be considered the true beneficiary, subject to a charge in favour of the heirs or specified relatives of the testator for their upkeep, or that, on the other hand, these heirs shall be considered the true beneficiaries of the property, subject to a charge for the upkeep, worship and expenses of the idol, is a question which can only be settled by a conspectus of the entire provisions of the will"": Pande Har Narayan v. Surja Kunwari, [1921] L. R. 48 I. A. 143, 145, 146 1921 Indlaw PC 56",Precedent
"The property may be given out and out to the idol, or it may be subjected to a charge in favour of the idol",Ratio of the decision
"where the Actual income is to be included in the gross assets, in the case of forests, the assumed income and not the Actual income is to be included",Ruling by Lower Court
"With these directions and observations we affirm the orders under appeal but, while dismissing the appeals, direct the parties to bear their costs in this Court",Ruling by Present Court
"But as the Court directed that no further evidence on behalf of the State should be received, Ext",Ruling by Lower Court
"That charge reads thus :"" ""Adverting to the portion which we have bracketed, his first objection was that the charge comprises within it not merely the conspiracy but also what was in fact done in pursuance of the conspiracy",Argument
"So far as Nagendra is concerned there is a clear finding of fact recorded by Mr. Justice Bose on a specific issue raised in that behalf, viz",Ratio of the decision
"It however observed: "" But, in our opinion, that should not be the universal rule",Ruling by Lower Court
"Ker.86 1974 Indlaw KER 91,and to Convention No.103 concerning Maternity Protection Convention (Revised),1952 adopted by the General Conference of the International Labour Organisation",Argument
"2 M.L.J. 562 were next cited:-- ""As the will gave her the right to 'enjoy' the income of the estate during her lifetime, it was evidently contemplated that she should, as provided by -the Hindu law in the case of a widow, be in possession of the estate",Precedent
"The said suit was compromised and on the 24th November, 1910, a consent decree was passed, whereby jogendra and Golap Sundari gave up their rights to the sevayatship and Bhupendra, Jnanendra and Nagendra became the sevaits of the idol, a portion of the premises",Facts
"He,therefore,urged that the High Court was right in quashing the Collector's order dated February 23,1973",Argument
The substantial question to decide in the appeal is whether the estate granted by the testator to his widow was a fall woman's estate under Hindu law or merely a limited life estate in the English sense of that expression,Ratio of the decision
His next objection was that it brought within its purview all the various offences which were alleged to have been committed by the respondents,Argument
"The defendants pleaded that the plaintiff had no title to maintain the suit, that the widow was entitled under the will to an absolute estate or at least to an estate analogous to and not less than a widow's estate, that the estate given to Ramalakshmi under the will was but a contingent one and she having predeceased the widow, no interest in the suit properties devolved on the plaintiff",Facts
The said cross-objections were however printed as additional record,Ruling by Lower Court
"In our opinion the words ""within the meaning of s. 234"" indicate that what was meant by the words offence of the same kind"" ""'persons accused of more offences than one of the same kind not exceeding three in number""or may have used the words"" person accused of more than one offence of the same kind to the extent permissible under s. 234",Statute
In fairness to the learned counsel for the State Mr,Ruling by Lower Court
"The matter is remitted to the District Collector,Meerut to determine the liability of the Company upto the date of vesting i.e.28th October,1984 after notice to the parties",Ruling by Present Court
"Shree Shree Iswar Sridhar Jew his two immoveable properties, to wit",Facts
The second contention of the appellants also therefore fails,Ruling by Present Court
"Adverse possession,in such circumstances is a notion almost void of content",Precedent
226 to 231 deal with the power of the court with regard to framing and altering charges and the procedure to be adopted at the trial where a charge is found to be defective or there is no charge or where a new charge is to be framed,Statute
The portions allotted to Jogendra were subsequently numbered 40/2-A Grey Street and the portion of the premises,Facts
No order as to costs,Ruling by Present Court
"After determination of liabilities and adjustment of the dues which is payable by the Company,if any amount is found payable to the Company,the appellant shall pay the amount within four months from the date of determination",Ruling by Present Court
The question for decision in that case was whether S. was at all entitled to sell anything more than her life interest even for purposes of meeting a necessity binding upon the estate,Precedent
"One daughter of the daughter predeceased the testator without issue and the other daughter died after the death of the testator leaving an only son, the respondent in that case",Precedent
233 to 240 in the second,Statute
"These words, he contended, clearly show that cl",Statute
"The Court may infer from these facts that A was not misled,and that the error in the charge was immaterial",Statute
S. 234 cannot also be regarded as an overriding provision because reading it that way will lead to the clear result that whereas several accused persons can be charged at the same trial with any number of different offences committed by them in the course of the same transaction they cannot be tried also for -offences of the same kind exceeding three in number and committed beyond a space of 12 months from the first to the last,Statute
The High Court took a different view and held that Chunderbutti took the estate in her character as a Hindu widow,Precedent
Cl,Ratio of the decision
"4, 8, 9, 10 and 20 put to the respondent No",Argument
"In that case it is provided that the shebait for the time being shall be entitled to reside with his family in the said dwelling-house, but the dwelling-house itself is the place specially set apart for the family idols to which specific reference is made in the will, and in their Lordships' opinion the gift is only a perfectly reasonable arrangement to secure that the man in whose hands the supervision of the whole estate is vested should have associated with his duties the right to reside in this named dwelling place",Precedent
